iter	Passed	Remaining
0	19	3968
1	48	4806
2	76	5000
3	102	5038
4	125	4909
5	150	4881
6	183	5069
7	209	5029
8	226	4813
9	245	4664
10	269	4623
11	367	5764
12	399	5740
13	493	6553
14	598	7383
15	644	7413
16	696	7499
17	755	7641
18	817	7790
19	866	7800
20	899	7670
21	927	7508
22	957	7368
23	994	7293
24	1035	7250
25	1077	7209
26	1128	7233
27	1166	7168
28	1228	7243
29	1262	7153
30	1295	7064
31	1327	6967
32	1357	6868
33	1392	6800
34	1429	6737
35	1462	6662
36	1493	6581
37	1522	6490
38	1559	6436
39	1596	6385
40	1640	6361
41	1664	6261
42	1697	6198
43	1736	6158
44	1782	6140
45	1838	6155
46	1874	6101
47	1903	6027
48	1931	5951
49	1955	5865
50	1979	5784
51	2005	5706
52	2021	5606
53	2036	5505
54	2052	5410
55	2078	5344
56	2117	5312
57	2138	5235
58	2187	5228
59	2218	5177
60	2240	5104
61	2259	5028
62	2282	4963
63	2304	4897
64	2320	4819
65	2338	4747
66	2352	4669
67	2367	4596
68	2384	4527
69	2416	4487
70	2438	4429
71	2458	4370
72	2479	4313
73	2496	4251
74	2514	4190
75	2531	4129
76	2547	4069
77	2567	4016
78	2584	3958
79	2614	3922
80	2634	3869
81	2650	3813
82	2670	3764
83	2688	3713
84	2706	3662
85	2724	3611
86	2749	3571
87	2765	3519
88	2781	3468
89	2796	3417
90	2812	3369
91	2839	3333
92	2863	3294
93	2900	3271
94	2939	3248
95	2973	3221
96	3016	3203
97	3093	3220
98	3135	3198
99	3166	3166
100	3192	3129
101	3209	3083
102	3230	3042
103	3248	2999
104	3263	2952
105	3280	2909
106	3296	2864
107	3316	2825
108	3335	2784
109	3354	2744
110	3380	2710
111	3398	2670
112	3417	2630
113	3433	2589
114	3452	2551
115	3477	2518
116	3493	2478
117	3509	2438
118	3538	2408
119	3555	2370
120	3575	2334
121	3613	2310
122	3635	2276
123	3655	2240
124	3676	2205
125	3703	2174
126	3719	2138
127	3734	2100
128	3750	2064
129	3767	2028
130	3786	1994
131	3806	1960
132	3822	1925
133	3839	1891
134	3857	1857
135	3886	1829
136	3905	1795
137	3924	1763
138	3951	1734
139	3969	1701
140	3988	1668
141	4004	1635
142	4022	1603
143	4039	1570
144	4055	1538
145	4071	1505
146	4094	1476
147	4111	1444
148	4131	1414
149	4149	1383
150	4167	1352
151	4208	1328
152	4251	1306
153	4269	1275
154	4284	1243
155	4301	1213
156	4317	1182
157	4333	1152
158	4351	1122
159	4369	1092
160	4386	1062
161	4405	1033
162	4420	1003
163	4436	973
164	4452	944
165	4467	915
166	4483	886
167	4498	856
168	4515	828
169	4531	799
170	4548	771
171	4564	743
172	4581	715
173	4598	687
174	4619	659
175	4640	632
176	4656	605
177	4672	577
178	4689	550
179	4707	523
180	4724	495
181	4739	468
182	4756	441
183	4775	415
184	4791	388
185	4808	361
186	4824	335
187	4843	309
188	4862	282
189	4890	257
190	4913	231
191	4930	205
192	4949	179
193	4965	153
194	4982	127
195	4999	102
196	5016	76
197	5032	50
198	5048	25
199	5064	0
